country,total
"United States",17
Japan,13
India,6
"United Kingdom",5
Nigeria,2
"South Africa",1
"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",1
"Germany, Czech Republic",1
Mexico,1
Turkey,1
