country,tv_shows,movies
"United Kingdom",5,0
India,5,1
"South Africa",1,0
Mexico,1,0
Turkey,1,0
Australia,1,0
Finland,1,0
Belgium,1,0
"United States, United Kingdom",1,0
"France, United States",1,0
