director,total_content
"Toshiya Shinohara",4
"Masahiko Murata",3
"Hajime Kamegaki",2
"Delhiprasad Deenadayalan",2
"Robert Cullen, Jos̩ Luis Ucha",1
"Haile Gerima",1
"Andy Devonshire",1
"Theodore Melfi",1
"Kongkiat Komesiri",1
"Christian Schwochow",1
